timestamp,bytes_in,bytes_out,cpu_aidle,cpu_idle,cpu_system,cpu_user,cpu_wio,disk_free,load_fifteen,load_five,load_one,mem_cached,mem_free,pkts_in,pkts_out,proc_run,proc_total,swap_free,Gpu0_gpu_temp,Gpu0_mem_copy_utilization,Gpu0_memory_temp,Gpu0_power_usage,Gpu0_sm_clock,Gpu1_gpu_temp,Gpu1_mem_copy_utilization,Gpu1_memory_temp,Gpu1_power_usage,Gpu1_sm_clock,Gpu2_gpu_temp,Gpu2_mem_copy_utilization,Gpu2_memory_temp,Gpu2_power_usage,Gpu2_sm_clock,Gpu3_gpu_temp,Gpu3_mem_copy_utilization,Gpu3_memory_temp,Gpu3_power_usage,Gpu3_sm_clock,Gpu0_current_clock_throttle_reasons,Gpu0_fb_free,Gpu0_fb_used,Gpu0_gpu_util_samples,Gpu0_gpu_utilization,Gpu0_nvlink_bandwidth_total,Gpu0_total_energy_consumption,Gpu1_current_clock_throttle_reasons,Gpu1_ecc_sbe_volatile_total,Gpu1_fb_free,Gpu1_fb_used,Gpu1_gpu_util_samples,Gpu1_gpu_utilization,Gpu1_nvlink_bandwidth_total,Gpu1_retired_pages_pending,Gpu1_retired_pages_sbe,Gpu1_total_energy_consumption,Gpu2_current_clock_throttle_reasons,Gpu2_fb_free,Gpu2_fb_used,Gpu2_gpu_util_samples,Gpu2_gpu_utilization,Gpu2_nvlink_bandwidth_total,Gpu2_total_energy_consumption,Gpu3_current_clock_throttle_reasons,Gpu3_fb_free,Gpu3_fb_used,Gpu3_gpu_util_samples,Gpu3_gpu_utilization,Gpu3_nvlink_bandwidth_total,Gpu3_total_energy_consumption
2022-09-01 00:00:00+00:00,6507.33603515625,17244.1939453125,93.0999984741211,78.9823527616613,0.11176470754777684,20.870588302612305,0.0,1136.4108154296875,27.508000055948894,28.10733324686686,28.589333216349285,1919348.3636363635,211806635.63636363,52.89199981689453,102.0760009765625,28.636363636363637,2487.090909090909,3280448.0,38.0,0.0,35.84090909090909,40.2717732516202,135.0,42.52272727272727,0.0,40.40909090909091,41.23909143968062,135.0,36.25,0.0,34.61363636363637,40.271182320334695,135.0,44.29545454545455,0.0,42.13636363636363,41.68529458479448,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460128611371.8182,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470232137738.2273,1.0,16151.0,8.0,0.0,0.0,0.0,478139970159.7727,1.0,16151.0,8.0,0.0,0.0,0.0,473286367658.5
2022-09-01 00:15:00+00:00,8136.921630859375,19483.250162760418,93.0999984741211,79.00454607876864,0.13636363839561289,20.854545333168723,0.0,1136.4090087890625,28.312608635943867,28.395652273426887,27.57173911384914,1920744.4210526317,211813766.7368421,61.96333312988281,118.94166564941406,22.5,2506.2,3280448.0,37.93478260869565,0.0,35.71739130434783,40.27395712811014,135.0,42.108695652173914,0.0,39.97826086956522,41.2058047419009,135.0,36.15217391304348,0.0,34.30434782608695,40.27113093500552,135.0,43.82608695652174,0.0,41.71739130434783,41.47106518952743,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460164827036.1739,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470269130245.54346,1.0,16151.0,8.0,0.0,0.0,0.044444444444444446,478176143868.13043,1.0,16151.0,8.0,0.0,0.0,0.0,473323727739.5217
2022-09-01 00:30:00+00:00,6542.260009765625,16944.146484375,93.0999984741211,78.94500007629395,0.12000000178813934,20.91999979019165,0.0,1136.4074462890626,27.074705853181726,26.19941161660587,25.67617640775793,1922007.2727272727,211803037.0909091,53.57333246866862,102.3816655476888,29.5,2485.7,3280448.0,37.955555555555556,0.0,35.86666666666667,40.27057825724284,135.0,42.4,0.0,40.28888888888889,41.20664486355252,135.0,36.08888888888889,0.0,34.53333333333333,40.27057825724284,135.0,44.266666666666666,0.0,42.13333333333333,41.67184363471137,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460201420963.24445,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470306584897.26666,1.0,16151.0,8.0,0.0,0.0,0.0,478212784468.0,1.0,16151.0,8.0,0.0,0.0,0.0,473361456092.8444
2022-09-01 00:45:00+00:00,6895.521647135417,16417.1015625,93.05624914169312,78.18125057220459,0.1312500019557774,21.674999952316284,0.0,1136.4061767578125,27.307619094848633,27.666666666666668,28.29000000726609,1922990.2222222222,211797927.1111111,55.99000040690104,101.3849983215332,27.545454545454547,2485.4545454545455,3280448.0,37.666666666666664,0.0,35.44444444444444,40.2110226949056,135.0,42.022222222222226,0.0,39.955555555555556,41.11893344455295,135.0,36.06666666666667,0.0,34.31111111111111,40.271156056722006,135.0,43.77777777777778,0.0,41.733333333333334,41.5401107788086,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460237570135.0,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470343539243.6,1.0,16151.0,8.0,0.0,0.0,0.0,478248963946.1111,1.0,16151.0,8.0,0.0,0.0,0.0,473398807751.06665
2022-09-01 01:00:00+00:00,6945.27001953125,18384.445068359375,93.0,78.43333326067243,0.1047619063229788,21.457142875308083,0.0,1136.406396484375,28.086499977111817,28.446000194549562,28.035000038146972,1923912.7272727273,211779627.63636363,56.57500076293945,107.65250205993652,32.333333333333336,2488.5555555555557,3280448.0,37.75555555555555,0.0,35.733333333333334,40.274622853597,135.0,42.4,0.0,40.13333333333333,41.21633377075195,135.0,36.13333333333333,0.0,34.51111111111111,40.27000045776367,135.0,44.044444444444444,0.0,41.955555555555556,41.57457733154297,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460273802494.0,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470380625125.8889,1.0,16151.0,8.0,0.0,0.0,0.0,478285225880.3111,1.0,16151.0,8.0,0.0,0.0,0.0,473436263842.6889
2022-09-01 01:15:00+00:00,6785.456868489583,17361.069986979168,93.0,78.0499997138977,0.10625000158324838,21.81250011920929,0.0,1136.404638671875,28.17368427075838,28.25157898350766,28.34789456819233,1924800.0,211786112.0,54.813334147135414,104.06999969482422,28.7,2486.0,3280448.0,37.77272727272727,0.0,35.68181818181818,40.27236418290572,135.0,42.22727272727273,0.0,40.02272727272727,41.13763653148305,135.0,36.11363636363637,0.0,34.54545454545455,40.27000045776367,135.0,43.84090909090909,0.0,41.90909090909091,41.585772254250266,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460309641426.7273,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470417261350.2045,1.0,16151.0,8.0,0.0,0.0,0.0,478321433812.44446,1.0,16151.0,8.0,0.0,0.0,0.0,473473727007.6222
2022-09-01 01:30:00+00:00,6247.2099609375,16994.27294921875,93.0,77.7923085139348,0.12307692491091214,22.046153728778545,0.0,1136.416015625,28.456086946570355,28.56913060727327,28.533478197844133,1926476.1904761905,211780934.0952381,51.17833264668783,101.87666829427083,30.77777777777778,2487.3333333333335,3280448.0,37.77777777777778,0.0,35.666666666666664,40.22306722005208,135.0,41.977777777777774,0.0,39.93333333333333,41.118333435058595,135.0,36.022222222222226,0.0,34.31111111111111,40.27173385620117,135.0,43.84444444444444,0.0,41.77777777777778,41.5475107828776,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460345388050.3333,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470453848419.0,1.0,16151.0,8.0,0.0,0.0,0.0,478357240485.6818,1.0,16151.0,8.0,0.0,0.0,0.0,473510686315.5227
2022-09-01 01:45:00+00:00,7177.3599609375,17585.2576171875,93.0,78.19333394368489,0.10666666825612386,21.666666539510093,0.0,1136.4318115234375,28.93166658613417,29.062222374810112,28.429999987284344,1928184.888888889,211778254.2222222,57.90999984741211,108.01000061035157,27.545454545454547,2485.090909090909,3280448.0,37.80434782608695,0.0,35.71739130434783,40.27339188948922,135.0,42.32608695652174,0.0,40.19565217391305,41.185087286907695,135.0,36.08695652173913,0.0,34.369565217391305,40.27113093500552,135.0,44.08695652173913,0.0,42.108695652173914,41.637412361476734,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460381967425.43475,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470491207635.1739,1.0,16151.0,8.0,0.0,0.0,0.0,478393445985.5217,1.0,16151.0,8.0,0.0,0.0,0.0,473548030650.15216
2022-09-01 02:00:00+00:00,6493.019856770833,17515.7265625,93.0,78.79999923706055,0.10500000156462193,21.069999980926514,0.0,1136.4310302734375,28.749999826604668,28.586818174882367,28.354999975724652,1929064.4210526317,211764129.68421054,53.28666687011719,100.70333353678386,29.0,2487.25,3280448.0,37.51111111111111,0.0,35.422222222222224,40.17546691894531,135.0,41.62222222222222,0.0,39.733333333333334,41.01004418267144,135.0,35.955555555555556,0.0,34.13333333333333,40.27057825724284,135.0,43.422222222222224,0.0,41.44444444444444,41.433800082736546,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460418486614.91113,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470528603814.6222,1.0,16151.0,8.0,0.0,0.0,0.0,478430003258.86664,1.0,16151.0,8.0,0.0,0.0,0.0,473585846007.1556
2022-09-01 02:15:00+00:00,7463.319921875,18508.8080078125,93.0,78.3875002861023,0.10625000158324838,21.5,0.0,1136.4289794921874,28.51476187933059,28.367142904372443,28.26523817153204,1930459.4285714286,211781680.76190478,55.86000061035156,111.11200103759765,27.9,2509.0,3280448.0,38.0,0.0,35.77272727272727,40.27236418290572,135.0,42.13636363636363,0.0,40.09090909090909,41.23847779360685,135.0,36.02272727272727,0.0,34.29545454545455,40.27000045776367,135.0,43.86363636363637,0.0,41.75,41.495499870993875,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,460454352442.13635,1.0,0.0,16151.0,8.0,0.0,0.0,0.0,0.0,0.0,470565237307.7273,1.0,16151.0,8.0,0.0,0.0,0.022727272727272728,478465889137.4318,1.0,16151.0,8.0,0.0,0.0,0.0,473622757544.36365
