timestamp,boottime,bytes_in,bytes_out,cpu_aidle,cpu_idle,cpu_system,cpu_user,cpu_wio,disk_free,load_fifteen,load_five,load_one,mem_cached,mem_free,pkts_in,pkts_out,proc_run,proc_total,Gpu0_gpu_temp,Gpu0_mem_copy_utilization,Gpu0_memory_temp,Gpu0_power_usage,Gpu0_sm_clock,Gpu1_gpu_temp,Gpu1_mem_copy_utilization,Gpu1_memory_temp,Gpu1_power_usage,Gpu1_sm_clock,Gpu2_gpu_temp,Gpu2_mem_copy_utilization,Gpu2_memory_temp,Gpu2_power_usage,Gpu2_sm_clock,Gpu3_gpu_temp,Gpu3_mem_copy_utilization,Gpu3_memory_temp,Gpu3_power_usage,Gpu3_sm_clock,Gpu0_current_clock_throttle_reasons,Gpu0_fb_free,Gpu0_fb_used,Gpu0_gpu_util_samples,Gpu0_gpu_utilization,Gpu0_nvlink_bandwidth_total,Gpu0_total_energy_consumption,Gpu1_current_clock_throttle_reasons,Gpu1_fb_free,Gpu1_fb_used,Gpu1_gpu_util_samples,Gpu1_gpu_utilization,Gpu1_nvlink_bandwidth_total,Gpu1_total_energy_consumption,Gpu2_current_clock_throttle_reasons,Gpu2_fb_free,Gpu2_fb_used,Gpu2_gpu_util_samples,Gpu2_gpu_utilization,Gpu2_nvlink_bandwidth_total,Gpu2_total_energy_consumption,Gpu3_current_clock_throttle_reasons,Gpu3_fb_free,Gpu3_fb_used,Gpu3_gpu_util_samples,Gpu3_gpu_utilization,Gpu3_nvlink_bandwidth_total,Gpu3_total_energy_consumption
2022-09-01 00:00:00+00:00,1661111098.0,5948.186686197917,16560.736328125,99.9000015258789,99.8900016784668,0.010000000149011612,0.020000000298023225,0.0,1134.4916015625,0.05599999949336052,0.11500000134110451,0.1299999997019768,1465805.4736842106,317128936.42105263,48.826666514078774,99.83000183105469,0.0,1354.8,36.95652173913044,0.0,34.0,41.499696316926375,135.0,37.54347826086956,0.0,35.76086956521739,41.6754788937776,135.0,34.26086956521739,0.0,33.0,38.98699951171875,135.0,37.04347826086956,0.0,35.0,39.467347186544664,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36486865598.91304,1.0,16151.0,8.0,0.0,0.0,0.0,36553908723.04348,1.0,16151.0,8.0,0.0,0.0,0.0,34308013208.847828,1.0,16151.0,8.0,0.0,0.0,0.0,34710316981.41304
2022-09-01 00:15:00+00:00,1661111098.0,7749.2049560546875,20250.5380859375,99.9000015258789,99.87000122070313,0.020000000298023225,0.030000000447034835,0.0,1134.4822021484374,0.09200000017881393,0.1290000006556511,0.14699999783188106,1468896.0,317137973.3333333,57.10499858856201,122.39499855041504,0.125,1372.875,37.0,0.0,34.0,41.544534047444664,135.0,38.0,0.0,36.0,41.85548968844944,135.0,34.62222222222222,0.0,33.044444444444444,39.00917731391059,135.0,37.0,0.0,35.0,39.46808827718099,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36524663519.022224,1.0,16151.0,8.0,0.0,0.0,0.0,36591967078.844444,1.0,16151.0,8.0,0.0,0.0,0.0,34343475758.422222,1.0,16151.0,8.0,0.0,0.0,0.0,34746217522.08889
2022-09-01 00:30:00+00:00,1661111098.0,5895.546549479167,16426.420247395832,99.9000015258789,99.88000106811523,0.010000000149011612,0.020000000298023225,0.0,1134.4787841796874,0.0819999996572733,0.09500000104308129,0.0739999996498227,1471393.8823529412,317127401.4117647,47.916666666666664,102.75333404541016,0.1,1352.6,37.0,0.0,34.0,41.47800064086914,135.0,37.46666666666667,0.0,35.266666666666666,41.558600446912976,135.0,34.044444444444444,0.0,33.0,38.986444007025824,135.0,37.0,0.0,35.0,39.468666076660156,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36561979165.04444,1.0,16151.0,8.0,0.0,0.0,0.0,36629484984.91111,1.0,16151.0,8.0,0.0,0.0,0.0,34378524214.44444,1.0,16151.0,8.0,0.0,0.0,0.0,34781699015.64445
2022-09-01 00:45:00+00:00,1661111098.0,5901.546712239583,16366.563151041666,99.9000015258789,99.89000091552734,0.010000000149011612,0.020000000298023225,0.0,1134.475830078125,0.042999999783933165,0.048999999463558194,0.06399999931454659,1472754.2857142857,317128704.0,48.38333257039388,99.01999918619792,0.1,1351.7,36.97727272727273,0.0,33.97727272727273,41.47800064086914,135.0,37.20454545454545,0.0,35.13636363636363,41.51686408303001,135.0,34.0,0.0,33.0,38.98643138191917,135.0,37.0,0.0,35.0,39.46709025989879,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36598886615.84091,1.0,16151.0,8.0,0.0,0.0,0.0,36666431450.818184,1.0,16151.0,8.0,0.0,0.0,0.0,34413179758.818184,1.0,16151.0,8.0,0.0,0.0,0.0,34816783790.59091
2022-09-01 01:00:00+00:00,1661111098.0,5912.643391927083,16610.787109375,99.9000015258789,99.88000106811523,0.010000000149011612,0.020000000298023225,0.0,1134.4770263671876,0.023999999463558196,0.05400000009685755,0.05499999914318323,1474032.0,317101900.0,48.563332875569664,99.99000040690105,0.2222222222222222,1354.7777777777778,37.0,0.0,34.0,41.47800064086914,135.0,37.34782608695652,0.0,35.369565217391305,41.65328316066576,135.0,34.19565217391305,0.0,33.0,38.986456083214804,135.0,37.0,0.0,35.0,39.47017337964929,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36636160619.41304,1.0,16151.0,8.0,0.0,0.0,0.0,36703849563.804344,1.0,16151.0,8.0,0.0,0.0,0.0,34448264726.71739,1.0,16151.0,8.0,0.0,0.0,0.0,34852303111.86957
2022-09-01 01:15:00+00:00,1661111098.0,5982.5966796875,17692.906575520832,99.9000015258789,99.89000091552734,0.010000000149011612,0.020000000298023225,0.0,1134.472998046875,0.04299999959766865,0.08500000052154064,0.08000000026077032,1475537.0666666667,317126272.0,48.936665852864586,104.56999969482422,0.0,1352.1666666666667,37.0,0.0,34.0,41.50017844306098,135.0,38.0,0.0,35.888888888888886,41.85842310587565,135.0,34.44444444444444,0.0,33.0,38.9858885023329,135.0,37.0,0.0,35.0,39.47213287353516,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36673915692.111115,1.0,16151.0,8.0,0.0,0.0,0.0,36741872104.73333,1.0,16151.0,8.0,0.0,0.0,0.0,34483724898.48889,1.0,16151.0,8.0,0.0,0.0,0.0,34888201691.0
2022-09-01 01:30:00+00:00,1661111098.0,5986.316569010417,16707.453450520832,99.9000015258789,99.91000137329101,0.010000000149011612,0.020000000298023225,0.0,1134.4732177734375,0.012999999709427357,0.036999999172985555,0.03599999994039536,1476884.2105263157,317116325.05263156,48.893332163492836,100.1866683959961,0.1111111111111111,1352.0,37.0,0.0,34.0,41.47800064086914,135.0,37.91111111111111,0.0,35.82222222222222,41.74991192287869,135.0,34.13333333333333,0.0,33.0,38.98699951171875,135.0,37.0,0.0,35.0,39.472710673014326,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36711231113.86667,1.0,16151.0,8.0,0.0,0.0,0.0,36779468049.31111,1.0,16151.0,8.0,0.0,0.0,0.0,34518799851.91111,1.0,16151.0,8.0,0.0,0.0,0.0,34923711678.28889
2022-09-01 01:45:00+00:00,1661111098.0,5981.449951171875,15982.000244140625,99.9000015258789,99.8900016784668,0.020000000298023225,0.030000000447034835,0.0,1134.4703857421875,0.006999999843537807,0.04899999964982271,0.07099999953061342,1478323.2,317115848.53333336,48.36250019073486,98.46500015258789,0.1111111111111111,1352.7777777777778,37.0,0.0,34.0,41.47800064086914,135.0,37.31111111111111,0.0,35.15555555555556,41.538733842637804,135.0,34.022222222222226,0.0,33.0,38.98699951171875,135.0,37.0,0.0,35.0,39.47039947509766,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36748536129.08889,1.0,16151.0,8.0,0.0,0.0,0.0,36816886658.0,1.0,16151.0,8.0,0.0,0.0,0.0,34553823005.577774,1.0,16151.0,8.0,0.0,0.0,0.0,34959169941.17778
2022-09-01 02:00:00+00:00,1661111098.0,5946.450032552083,16568.723307291668,99.9000015258789,99.9000015258789,0.010000000149011612,0.020000000298023225,0.0,1134.4718017578125,0.007999999821186066,0.054000000655651095,0.07099999841302633,1482152.4210526317,317101416.42105263,49.003334045410156,99.73666636149089,0.1,1353.6,36.955555555555556,0.0,34.0,41.47800064086914,135.0,37.71111111111111,0.0,35.53333333333333,41.72540071275499,135.0,34.17777777777778,0.0,33.0,38.98699951171875,135.0,37.0,0.0,35.0,39.466932678222655,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36785840498.888885,1.0,16151.0,8.0,0.0,0.0,0.0,36854339249.68889,1.0,16151.0,8.0,0.0,0.0,0.0,34588924154.066666,1.0,16151.0,8.0,0.0,0.0,0.0,34994707493.8
2022-09-01 02:15:00+00:00,1661111098.0,6034.9501953125,18343.345703125,99.9000015258789,99.8900016784668,0.020000000298023225,0.030000000447034835,0.0,1134.4679931640626,0.03199999965727329,0.09299999959766865,0.09700000062584876,1484736.0,317095616.0,49.635000228881836,105.85499954223633,0.125,1387.0,37.0,0.0,34.08888888888889,41.57840076022678,135.0,38.0,0.0,35.977777777777774,41.94582324557834,135.0,34.86666666666667,0.0,33.17777777777778,38.984777492947046,135.0,37.15555555555556,0.0,35.0,39.46751047770182,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,36823192089.155556,1.0,16151.0,8.0,0.0,0.0,0.0,36891984972.066666,1.0,16151.0,8.0,0.0,0.0,0.0,34624001014.51111,1.0,16151.0,8.0,0.0,0.0,0.0,35030218383.35555
