timestamp,boottime,bytes_in,bytes_out,cpu_aidle,cpu_idle,cpu_nice,cpu_system,cpu_user,cpu_wio,disk_free,load_fifteen,load_five,load_one,mem_buffers,mem_cached,mem_free,part_max_used,pkts_in,pkts_out,proc_run,proc_total,swap_free,Gpu0_gpu_temp,Gpu0_mem_copy_utilization,Gpu0_memory_temp,Gpu0_power_usage,Gpu0_sm_clock,Gpu1_gpu_temp,Gpu1_mem_copy_utilization,Gpu1_memory_temp,Gpu1_power_usage,Gpu1_sm_clock,Gpu2_gpu_temp,Gpu2_mem_copy_utilization,Gpu2_memory_temp,Gpu2_power_usage,Gpu2_sm_clock,Gpu3_gpu_temp,Gpu3_mem_copy_utilization,Gpu3_memory_temp,Gpu3_power_usage,Gpu3_sm_clock,Gpu0_current_clock_throttle_reasons,Gpu0_fb_free,Gpu0_fb_used,Gpu0_gpu_util_samples,Gpu0_gpu_utilization,Gpu0_nvlink_bandwidth_total,Gpu0_total_energy_consumption,Gpu1_current_clock_throttle_reasons,Gpu1_fb_free,Gpu1_fb_used,Gpu1_gpu_util_samples,Gpu1_gpu_utilization,Gpu1_nvlink_bandwidth_total,Gpu1_total_energy_consumption,Gpu2_current_clock_throttle_reasons,Gpu2_fb_free,Gpu2_fb_used,Gpu2_gpu_util_samples,Gpu2_gpu_utilization,Gpu2_nvlink_bandwidth_total,Gpu2_total_energy_consumption,Gpu3_current_clock_throttle_reasons,Gpu3_fb_free,Gpu3_fb_used,Gpu3_gpu_util_samples,Gpu3_gpu_utilization,Gpu3_nvlink_bandwidth_total,Gpu3_total_energy_consumption,Gpu0_xid_errors,Gpu1_xid_errors,Gpu2_xid_errors,Gpu3_xid_errors
2022-09-01 00:00:00+00:00,1657003792.0,7236.0325927734375,16961.665283203125,89.0,78.50000040154708,0.0,0.1736842131144122,21.342105263157894,0.0,1135.56396484375,27.35222233666314,27.80388895670573,28.239444308810764,5696.0,8589005.47368421,213147422.31578946,41.599998474121094,58.442501068115234,107.06999969482422,25.363636363636363,2304.818181818182,4194240.0,37.0,0.0,35.90909090909091,43.6438400962136,135.0,42.0,0.0,38.72727272727273,43.66481746326793,135.0,36.06818181818182,0.0,35.0,41.250841487537734,135.0,47.0,0.0,43.13636363636363,41.73247614773837,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,547998893481.63635,1.0,16151.0,8.0,0.0,0.0,0.0,520883872111.7727,1.0,16151.0,8.0,0.0,0.0,0.0,498607321861.25,1.0,16151.0,8.0,0.0,0.0,0.0,511172494508.8182,43.0,43.0,43.0,43.0
2022-09-01 00:15:00+00:00,1657003792.0,8617.262765066964,18982.950055803572,89.0,78.76250076293945,0.0,0.16875000251457095,21.08750021457672,0.0,1135.56279296875,28.147600021362305,28.22879997253418,27.478800048828123,5696.0,8591235.368421054,213144852.21052632,41.599998474121094,66.2471433367048,118.74857221330915,27.636363636363637,2333.0,4194240.0,37.0,0.0,36.0,43.65426005487857,135.0,42.04347826086956,0.0,38.91304347826087,43.66617318858271,135.0,36.52173913043478,0.0,35.0,41.2519353783649,135.0,47.0,0.0,43.45652173913044,41.73506413335385,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548038083634.45654,1.0,16151.0,8.0,0.0,0.0,0.0,520923115634.34784,1.0,16151.0,8.0,0.0,0.0,0.0,498644340524.04346,1.0,16151.0,8.0,0.0,0.0,0.0,511209950670.73914,43.0,43.0,43.0,43.0
2022-09-01 00:30:00+00:00,1657003792.0,7671.397705078125,18683.21240234375,89.0,78.7904764811198,0.0,0.16666666915019354,21.047619138445175,0.0,1135.56201171875,27.80960006713867,27.77280014038086,27.949599990844728,5696.0,8593652.363636363,213132994.9090909,41.599998474121094,62.97749996185303,117.06500053405762,29.416666666666668,2304.9166666666665,4194240.0,37.0,0.0,35.84444444444444,43.58939938015408,135.0,42.0,0.0,38.62222222222222,43.66615481906467,135.0,36.0,0.0,35.0,41.25200059678819,135.0,46.93333333333333,0.0,43.0,41.73619893391927,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548077751469.7778,1.0,16151.0,8.0,0.0,0.0,0.0,520962794636.4889,1.0,16151.0,8.0,0.0,0.0,0.0,498681853568.08887,1.0,16151.0,8.0,0.0,0.0,0.0,511247878895.24445,43.0,43.0,43.0,43.0
2022-09-01 00:45:00+00:00,1657003792.0,7130.954833984375,16748.530029296875,88.95625066757202,77.83125019073486,0.0,0.15625000232830644,22.012499928474426,0.0,1135.560205078125,28.744666798909506,29.456000010172527,29.750666681925455,5696.0,8594566.095238095,213134147.04761904,41.599998474121094,57.66749858856201,103.94999885559082,27.5,2303.1,4194240.0,37.0,0.0,35.86666666666667,43.62133263481988,135.0,42.0,0.0,38.51111111111111,43.64502156575521,135.0,36.0,0.0,35.0,41.25320061577691,135.0,46.977777777777774,0.0,43.0,41.737998962402344,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548116938125.44446,1.0,16151.0,8.0,0.0,0.0,0.0,521002079524.93335,1.0,16151.0,8.0,0.0,0.0,0.0,498718947239.7778,1.0,16151.0,8.0,0.0,0.0,0.0,511285408686.6222,43.0,43.0,43.0,43.0
2022-09-01 01:00:00+00:00,1657003792.0,7299.95751953125,17855.427734375,88.9000015258789,78.2066665649414,0.0,0.1600000023841858,21.6266663869222,0.0,1135.5583740234374,28.775882496553308,28.58176466997932,27.917647193459903,5696.0,8595520.0,213122295.6521739,41.599998474121094,58.99250030517578,109.39500045776367,25.2,2304.7,4194240.0,37.0,0.0,35.977777777777774,43.660443454318575,135.0,42.0,0.0,38.977777777777774,43.668665907118054,135.0,36.0,0.0,35.0,41.25560065375434,135.0,47.0,0.0,43.044444444444444,41.73559892442491,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548156207224.06665,1.0,16151.0,8.0,0.0,0.0,0.0,521041374226.6,1.0,16151.0,8.0,0.0,0.0,0.0,498756041150.3778,1.0,16151.0,8.0,0.0,0.0,0.0,511322968663.4,43.0,43.0,43.0,43.0
2022-09-01 01:15:00+00:00,1657003792.0,7740.00244140625,17095.9072265625,88.9000015258789,77.62666676839193,0.0,0.16666666915019354,22.206666692097983,0.0,1135.5585693359376,28.411999893188476,28.170000076293945,27.93499994277954,5696.0,8596448.0,213127523.2,41.599998474121094,63.38999843597412,109.31500053405762,26.4,2303.2,4194240.0,37.0,0.0,35.955555555555556,43.65142144097222,135.0,42.0,0.0,39.0,43.66742146809896,135.0,36.111111111111114,0.0,35.0,41.25500064425998,135.0,47.0,0.0,43.2,41.73559892442491,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548195506743.57776,1.0,16151.0,8.0,0.0,0.0,0.0,521080611698.4889,1.0,16151.0,8.0,0.0,0.0,0.0,498793189702.2,1.0,16151.0,8.0,0.0,0.0,0.0,511360528001.7111,43.0,43.0,43.0,43.0
2022-09-01 01:30:00+00:00,1657003792.0,7244.8900146484375,17417.01220703125,88.9000015258789,77.80714307512555,0.007142857249294009,0.14285714498588017,22.028571265084402,0.0,1135.5590087890625,28.652499771118165,28.804499912261964,28.94650001525879,5696.0,8596224.0,213130998.85714287,41.599998474121094,58.32500076293945,109.58749961853027,26.8,2304.4,4194240.0,37.0,0.0,35.977777777777774,43.638021341959636,135.0,42.0,0.0,38.8,43.66993255615235,135.0,36.0,0.0,35.0,41.254400634765624,135.0,47.0,0.0,43.022222222222226,41.73679894341363,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548234805919.1556,1.0,16151.0,8.0,0.0,0.0,0.0,521119907827.91113,1.0,16151.0,8.0,0.0,0.0,0.0,498830282902.06665,1.0,16151.0,8.0,0.0,0.0,0.0,511398089300.4667,43.0,43.0,43.0,43.0
2022-09-01 01:45:00+00:00,1657003792.0,7601.9814453125,17525.844168526786,88.9000015258789,77.98888905843098,0.0,0.15555555787351397,21.84444448682997,0.0,1135.5581787109375,29.197894548114977,29.229473816721065,28.175263053492497,5696.0,8596396.8,213126883.2,41.599998474121094,61.812857491629465,109.12714276994977,27.727272727272727,2303.0,4194240.0,37.0,0.0,35.91111111111111,43.66873236762153,135.0,42.0,0.0,38.86666666666667,43.66675482855903,135.0,36.0,0.0,35.0,41.25560065375434,135.0,47.0,0.0,43.0,41.737998962402344,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548274044514.6,1.0,16151.0,8.0,0.0,0.0,0.0,521159146252.95557,1.0,16151.0,8.0,0.0,0.0,0.0,498867377121.4889,1.0,16151.0,8.0,0.0,0.0,0.0,511435622969.26666,43.0,43.0,43.0,43.0
2022-09-01 02:00:00+00:00,1657003792.0,6107.20654296875,15852.507161458334,88.9000015258789,78.19999847412109,0.0,0.14000000208616256,21.65999984741211,0.0,1135.5570068359375,29.098333199818928,28.925000031789143,28.81250015894572,5696.0,8597376.0,213076928.0,41.599998474121094,50.14666748046875,98.77333323160808,25.3,2303.1,4194240.0,37.0,0.0,35.977777777777774,43.67959899902344,135.0,42.0,0.0,38.86666666666667,43.66677703857422,135.0,36.0,0.0,35.0,41.25080057779948,135.0,47.0,0.0,43.0,41.73499891493056,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548313270349.8222,1.0,16151.0,8.0,0.0,0.0,0.0,521198499598.13336,1.0,16151.0,8.0,0.0,0.0,0.0,498904443124.8222,1.0,16151.0,8.0,0.0,0.0,0.0,511473126966.57776,43.0,43.0,43.0,43.0
2022-09-01 02:15:00+00:00,1657003792.0,7405.440022786458,19230.7880859375,88.9000015258789,77.25,0.0,0.12500000186264515,22.59999990463257,0.0,1135.5522216796876,28.71250009536743,28.96999979019165,29.952500343322754,5696.0,8600720.0,213103875.2,41.599998474121094,56.391666412353516,115.0283317565918,29.4,2334.0,4194240.0,37.0,0.0,36.0,43.679862629283555,135.0,42.70454545454545,0.0,39.0,43.66545382412997,135.0,36.29545454545455,0.0,35.0,41.25145513361151,135.0,47.0,0.0,43.29545454545455,41.734317085959695,135.0,1.0,16151.0,8.0,0.0,0.0,0.0,548352103886.5455,1.0,16151.0,8.0,0.0,0.0,0.0,521237277120.7045,1.0,16151.0,8.0,0.0,0.0,0.0,498941184112.0682,1.0,16151.0,8.0,0.0,0.0,0.0,511510245501.3182,43.0,43.0,43.0,43.0
