timestamp,boottime,bytes_in,bytes_out,cpu_aidle,cpu_idle,cpu_nice,cpu_system,cpu_user,cpu_wio,disk_free,load_fifteen,load_five,load_one,mem_cached,mem_free,pkts_in,pkts_out,proc_run,proc_total,Gpu0_gpu_temp,Gpu0_mem_copy_utilization,Gpu0_memory_temp,Gpu0_power_usage,Gpu0_sm_clock,Gpu1_gpu_temp,Gpu1_mem_copy_utilization,Gpu1_memory_temp,Gpu1_power_usage,Gpu1_sm_clock,Gpu2_gpu_temp,Gpu2_mem_copy_utilization,Gpu2_memory_temp,Gpu2_power_usage,Gpu2_sm_clock,Gpu3_gpu_temp,Gpu3_mem_copy_utilization,Gpu3_memory_temp,Gpu3_power_usage,Gpu3_sm_clock,Gpu0_current_clock_throttle_reasons,Gpu0_fb_free,Gpu0_fb_used,Gpu0_gpu_util_samples,Gpu0_gpu_utilization,Gpu0_nvlink_bandwidth_total,Gpu0_total_energy_consumption,Gpu1_current_clock_throttle_reasons,Gpu1_fb_free,Gpu1_fb_used,Gpu1_gpu_util_samples,Gpu1_gpu_utilization,Gpu1_nvlink_bandwidth_total,Gpu1_total_energy_consumption,Gpu2_current_clock_throttle_reasons,Gpu2_fb_free,Gpu2_fb_used,Gpu2_gpu_util_samples,Gpu2_gpu_utilization,Gpu2_nvlink_bandwidth_total,Gpu2_total_energy_consumption,Gpu3_current_clock_throttle_reasons,Gpu3_ecc_sbe_volatile_total,Gpu3_fb_free,Gpu3_fb_used,Gpu3_gpu_util_samples,Gpu3_gpu_utilization,Gpu3_nvlink_bandwidth_total,Gpu3_retired_pages_pending,Gpu3_retired_pages_sbe,Gpu3_total_energy_consumption
2022-09-01 00:00:00+00:00,1657003790.0,6628.905691964285,20938.390066964286,87.0999984741211,74.90000076293946,0.0,1.2600000023841857,23.81999988555908,0.0,1134.35439453125,32.33600006103516,32.30799942016601,32.29999923706055,5816042.666666667,291292689.06666666,54.53428649902344,106.81571415492466,32.44444444444444,2382.1111111111113,52.6,11.022222222222222,50.31111111111111,114.21393347846137,1409.088888888889,54.0,2.9555555555555557,50.0,83.36960042317709,1312.0,44.93333333333333,2.9555555555555557,42.0,81.59775568644206,1312.0,53.0,2.8,49.86666666666667,86.4801779852973,1312.0,0.0,15572.0,588.0,33.022222222222226,34.0,2757.3555555555554,597001082753.0222,0.0,15690.0,470.0,20.0,21.155555555555555,2049.733333333333,556385360219.9778,0.0,15694.0,466.0,20.133333333333333,20.91111111111111,2050.6,549254709687.6889,0.0,1.0,15694.0,466.0,19.933333333333334,19.8,2046.5555555555557,0.0,0.0,546234708635.1778
2022-09-01 00:15:00+00:00,1657003790.0,7468.679953835227,21849.305930397728,87.0999984741211,74.87000122070313,0.0,1.2000000119209289,23.919999885559083,0.0,1134.352001953125,32.40600051879883,32.49799995422363,32.536000442504886,5817328.94117647,291287043.7647059,58.58454582907937,114.27727369828658,32.54545454545455,2408.909090909091,52.577777777777776,11.28888888888889,50.422222222222224,113.7839114718967,1407.3111111111111,54.0,3.0,50.0,83.24573381212022,1312.0,45.0,3.0,42.0,82.4740219116211,1312.0,53.0,2.977777777777778,49.93333333333333,86.24315643310547,1312.0,0.0,15572.0,588.0,32.955555555555556,34.022222222222226,2756.822222222222,597103658518.5111,0.0,15690.0,470.0,19.977777777777778,21.57777777777778,2048.911111111111,556459850964.6666,0.0,15694.0,466.0,20.08888888888889,21.666666666666668,2046.7111111111112,549328074390.3555,0.0,1.0,15694.0,466.0,19.866666666666667,21.08888888888889,2044.5111111111112,0.0,0.0,546311383497.2222
2022-09-01 00:30:00+00:00,1657003790.0,7473.808865017361,22130.197699652777,87.0999984741211,74.91000137329101,0.0,1.3799999833106995,23.700000190734862,0.0,1134.3509521484375,32.37699966430664,32.35,32.34599990844727,5801755.428571428,291303811.04761904,58.1533334520128,112.28666687011719,32.45454545454545,2388.090909090909,52.61363636363637,11.340909090909092,50.36363636363637,114.90277325023304,1410.3181818181818,53.93181818181818,2.9318181818181817,49.88636363636363,82.9549543207342,1312.0,44.88636363636363,2.977272727272727,41.95454545454545,82.53331895308061,1312.0,53.0,2.977272727272727,49.84090909090909,84.99072751131925,1312.0,0.0,15572.0,588.0,33.0,34.75,2761.4545454545455,597202865618.9546,0.0,15690.0,470.0,20.0,20.181818181818183,2052.8636363636365,556533638641.0,0.0,15694.0,466.0,20.09090909090909,21.431818181818183,2049.7272727272725,549400400405.5682,0.0,1.0,15694.0,466.0,19.90909090909091,21.15909090909091,2046.6136363636363,0.0,0.0,546387312163.4318
2022-09-01 00:45:00+00:00,1657003790.0,7534.17109375,22824.0341796875,87.0999984741211,74.91000137329101,0.0,1.3299999952316284,23.73000011444092,0.0,1134.3501708984375,32.39700012207031,32.44199981689453,32.55100021362305,5731024.0,291371812.0,62.36599998474121,114.97200012207031,32.4,2379.6,52.369565217391305,11.065217391304348,50.17391304347826,108.40654323412025,1397.8260869565217,53.84782608695652,2.9782608695652173,49.82608695652174,82.65378338357677,1312.0,44.69565217391305,2.9782608695652173,41.84782608695652,80.89176128221595,1312.0,53.0,2.9782608695652173,49.52173913043478,84.46843404355256,1312.0,0.0,15572.0,588.0,33.30434782608695,34.76086956521739,2763.8478260869565,597305090169.1957,0.0,15690.0,470.0,19.956521739130434,20.5,2053.8478260869565,556608351180.9565,0.0,15694.0,466.0,20.065217391304348,20.608695652173914,2051.913043478261,549473720163.26086,0.0,1.0,15694.0,466.0,20.0,21.456521739130434,2052.195652173913,0.0,0.0,546464140514.95654
2022-09-01 01:00:00+00:00,1657003790.0,7152.330891927083,22134.014322916668,87.0999984741211,74.92000045776368,0.0,1.2800000190734864,23.81999969482422,0.0,1134.3491943359375,32.4350004196167,32.46250057220459,32.552499771118164,5731900.631578947,291370435.3684211,58.77583312988281,111.58249918619792,31.77777777777778,2382.5555555555557,52.044444444444444,11.444444444444445,50.0,106.01786753336589,1387.0,53.888888888888886,2.9555555555555557,49.86666666666667,80.10031110975477,1312.0,44.888888888888886,2.977777777777778,41.955555555555556,80.52535654703776,1312.0,53.0,2.888888888888889,49.888888888888886,84.8787333170573,1312.0,0.0,15572.0,588.0,33.48888888888889,35.044444444444444,2760.4444444444443,597405746517.0,0.0,15690.0,470.0,20.0,20.91111111111111,2050.511111111111,556683654285.1111,0.0,15694.0,466.0,20.266666666666666,21.4,2050.4,549547841545.8444,0.0,1.0,15694.0,466.0,20.0,20.266666666666666,2047.9555555555555,0.0,0.0,546541774890.57776
2022-09-01 01:15:00+00:00,1657003790.0,7449.523356119792,21954.080891927082,87.0999984741211,74.93000106811523,0.0,1.200000023841858,23.869999885559082,0.0,1134.3484130859374,32.4,32.39399948120117,32.375999450683594,5732924.444444444,291369553.7777778,60.65999952952067,113.25166511535645,32.333333333333336,2383.3333333333335,52.577777777777776,11.022222222222222,50.17777777777778,115.05448862711589,1410.6444444444444,53.977777777777774,2.9555555555555557,50.0,81.92953321668837,1312.0,45.0,2.9555555555555557,42.0,80.1917335510254,1312.0,53.0,2.977777777777778,49.955555555555556,84.63926679823133,1312.0,0.0,15572.0,588.0,33.13333333333333,33.77777777777778,2769.088888888889,597505789277.2444,0.0,15690.0,470.0,20.0,21.31111111111111,2058.4666666666667,556758203609.6,0.0,15694.0,466.0,20.155555555555555,21.355555555555554,2057.6666666666665,549621100391.06665,0.0,1.0,15694.0,466.0,20.0,21.288888888888888,2054.8888888888887,0.0,0.0,546618520957.0
2022-09-01 01:30:00+00:00,1657003790.0,7252.349964488636,21848.73908025568,87.0999984741211,74.90000076293946,0.0,1.2699999928474426,23.8,0.0,1134.3488037109375,32.3774995803833,32.385000228881836,32.39249897003174,5732406.857142857,291371934.47619045,59.51545472578569,113.13454575972123,32.333333333333336,2383.5555555555557,52.47727272727273,10.931818181818182,50.18181818181818,113.66172755848278,1404.2954545454545,53.97727272727273,3.0,49.97727272727273,81.5412047993053,1312.0,44.86363636363637,2.977272727272727,42.0,81.03170429576527,1312.0,53.0,2.977272727272727,50.0,85.3975004716353,1312.0,0.0,15572.0,588.0,33.25,33.63636363636363,2760.6666666666665,597606666049.7954,0.0,15690.0,470.0,20.0,20.886363636363637,2050.866666666667,556832079805.659,0.0,15694.0,466.0,20.113636363636363,21.34090909090909,2053.5333333333333,549693513077.8182,0.0,1.0,15694.0,466.0,19.954545454545453,20.931818181818183,2048.9555555555557,0.0,0.0,546694548926.5682
2022-09-01 01:45:00+00:00,1657003790.0,7296.475531684027,21576.773328993055,87.0999984741211,74.91000137329101,0.0,1.359999990463257,23.710000038146973,0.0,1134.3476318359376,32.376000213623044,32.39400024414063,32.42000045776367,5733025.882352941,291368726.5882353,60.01111094156901,111.92333390977647,32.9,2381.7,52.19565217391305,10.5,50.02173913043478,107.72797808439836,1396.0869565217392,53.65217391304348,2.9782608695652173,49.54347826086956,85.3506093232528,1312.0,44.45652173913044,2.9347826086956523,41.630434782608695,80.97786861917247,1312.0,53.0,2.9565217391304346,49.47826086956522,85.60771676768427,1312.0,0.0,15572.0,588.0,33.130434782608695,32.71739130434783,2759.6222222222223,597707385214.5217,0.0,15690.0,470.0,20.0,20.543478260869566,2052.4,556906685736.5217,0.0,15694.0,466.0,20.065217391304348,20.652173913043477,2053.3777777777777,549766855606.4348,0.0,1.0,15694.0,466.0,19.91304347826087,21.282608695652176,2047.9555555555555,0.0,0.0,546771391643.0217
2022-09-01 02:00:00+00:00,1657003790.0,6860.753723144531,22008.59619140625,87.0999984741211,74.91000061035156,0.0,1.3699999809265138,23.700000190734862,0.0,1134.3478271484375,32.37666702270508,32.36666742960612,32.375,5733856.0,291363936.0,56.72374963760376,111.29625034332275,32.44444444444444,2381.5555555555557,52.022222222222226,11.155555555555555,49.86666666666667,108.36104431152344,1390.3777777777777,53.84444444444444,3.0,49.75555555555555,82.77868957519532,1312.0,44.8,2.911111111111111,41.84444444444444,79.9531999376085,1312.0,53.0,2.9555555555555557,49.8,84.31028917100694,1312.0,0.0,15572.0,588.0,33.08888888888889,34.0,2752.4444444444443,597807840164.6,0.0,15690.0,470.0,20.0,20.8,2043.0444444444445,556981836593.2222,0.0,15694.0,466.0,20.044444444444444,20.955555555555556,2043.4222222222222,549840862797.5778,0.0,1.0,15694.0,466.0,19.91111111111111,21.066666666666666,2042.2888888888888,0.0,0.0,546848808538.75555
2022-09-01 02:15:00+00:00,1657003790.0,7841.340026855469,23027.544677734375,87.0999984741211,74.88000106811523,0.0,1.2899999976158143,23.81999988555908,0.0,1134.3422119140625,,,,5737144.470588235,291354597.64705884,61.892499923706055,118.95499992370605,32.22222222222222,2408.8888888888887,52.6,10.755555555555556,50.22222222222222,113.29135572645399,1408.1555555555556,53.93333333333333,2.977777777777778,49.955555555555556,82.70420040554471,1312.0,44.84444444444444,2.911111111111111,41.86666666666667,83.31357744004991,1312.0,53.0,2.9555555555555557,49.75555555555555,87.44353434244792,1312.0,0.0,15572.0,588.0,32.75555555555555,33.28888888888889,2749.133333333333,597908544255.9111,0.0,15690.0,470.0,19.977777777777778,21.0,2040.4444444444443,557056272421.4,0.0,15694.0,466.0,20.044444444444444,21.4,2041.6888888888889,549913827966.9778,0.0,1.0,15694.0,466.0,19.733333333333334,20.8,2039.4444444444443,0.0,0.0,546925435421.7111
