timestamp,bytes_in,bytes_out,cpu_idle,cpu_system,cpu_user,disk_free,load_fifteen,load_five,load_one,mem_cached,mem_free,pkts_in,pkts_out,proc_run,proc_total,Gpu0_gpu_temp,Gpu0_memory_temp,Gpu0_power_usage,Gpu1_gpu_temp,Gpu1_memory_temp,Gpu1_power_usage,Gpu2_gpu_temp,Gpu2_memory_temp,Gpu2_power_usage,Gpu3_gpu_temp,Gpu3_memory_temp,Gpu3_power_usage,Gpu0_fb_free,Gpu0_fb_used,Gpu0_total_energy_consumption,Gpu1_fb_free,Gpu1_fb_used,Gpu1_total_energy_consumption,Gpu2_fb_free,Gpu2_fb_used,Gpu2_total_energy_consumption,Gpu3_fb_free,Gpu3_fb_used,Gpu3_total_energy_consumption
2022-09-01 00:00:00+00:00,7678.682373046875,21165.72998046875,99.9000015258789,0.010000000149011612,0.010000000149011612,1099.0300537109374,0.008999999798834323,0.044999999739229676,0.067000000923872,3572265.411764706,313035316.7058824,57.02750110626221,123.14749717712402,0.5,1325.875,35.75555555555555,33.13333333333333,39.38899926079644,37.62222222222222,36.71111111111111,38.61477779812283,34.955555555555556,33.0,40.386087544759114,40.0,37.977777777777774,39.91366755167643,16151.0,8.0,196318872570.04443,16151.0,8.0,193053265118.33334,16151.0,8.0,201122617774.6889,16151.0,8.0,199543204014.62222
2022-09-01 00:15:00+00:00,5850.233235677083,16176.963541666666,99.9000015258789,0.0,0.0,1099.023193359375,0.02799999937415123,0.07300000041723251,0.07099999971687794,3577929.1428571427,313037462.85714287,47.973333994547524,98.89000193277995,0.0,1307.3333333333333,35.91111111111111,33.17777777777778,39.389554765489365,37.888888888888886,37.0,38.76057790120443,35.0,33.044444444444444,40.38839874267578,40.22222222222222,38.0,39.91422305636936,16151.0,8.0,196354225863.0889,16151.0,8.0,193088150580.13333,16151.0,8.0,201159029973.28888,16151.0,8.0,199579193899.02222
2022-09-01 00:30:00+00:00,5929.610026041667,17592.736979166668,99.94000091552735,0.010000000149011612,0.010000000149011612,1099.02255859375,0.010999999754130841,0.053999999538064,0.07099999971687794,3578792.4210526315,313037163.7894737,48.449999491373696,100.49666595458984,0.2,1310.8,35.2,33.0,39.38899934556749,37.24444444444445,36.51111111111111,38.53253326416016,34.62222222222222,33.0,40.387820943196616,40.0,38.0,39.91866709391276,16151.0,8.0,196389658212.71112,16151.0,8.0,193122841707.55554,16151.0,8.0,201195307712.4,16151.0,8.0,199615049319.71112
2022-09-01 00:45:00+00:00,5865.550130208333,17281.713216145832,99.9000015258789,0.0,0.0,1099.02099609375,0.019999999552965164,0.07100000064820051,0.06900000125169754,3579676.4444444445,313032995.5555556,47.96999994913737,103.46666717529297,0.2857142857142857,1307.0,35.022222222222226,33.06818181818182,39.38844367133247,37.111111111111114,36.20454545454545,38.45188878377279,34.62222222222222,33.0,40.387820943196616,40.0,38.0,39.914756266276044,16151.0,8.0,196425143785.55554,16151.0,8.0,193157480423.1111,16151.0,8.0,201231613216.4889,16151.0,8.0,199650931057.64444
2022-09-01 01:00:00+00:00,5792.393391927083,15700.746419270834,99.9000015258789,0.010000000149011612,0.010000000149011612,1099.02080078125,0.015999999642372132,0.07399999983608722,0.11099999994039536,3580594.285714286,313026811.4285714,47.45333353678385,98.35333251953125,0.0,1311.125,35.266666666666666,33.108695652173914,39.39177712334527,37.31111111111111,36.369565217391305,38.48613306681315,34.51111111111111,33.0,40.38897654215495,40.022222222222226,38.0,39.92033360799154,16151.0,8.0,196460523537.84445,16151.0,8.0,193192181895.15555,16151.0,8.0,201267998378.86667,16151.0,8.0,199686892177.6889
2022-09-01 01:15:00+00:00,5816.716796875,16352.1337890625,99.91000137329101,0.0,0.0,1099.02001953125,0.029999999888241292,0.08400000054389238,0.06599999982863665,3581549.1764705884,313023273.4117647,47.60333379109701,102.24000040690105,0.14285714285714285,1309.0,35.733333333333334,33.17777777777778,39.39177712334527,37.644444444444446,36.91111111111111,38.587755584716795,35.0,33.0,40.385509830051,40.15555555555556,38.0,39.914778561062285,16151.0,8.0,196495955725.33334,16151.0,8.0,193226857416.55554,16151.0,8.0,201304248923.62222,16151.0,8.0,199722721166.71112
2022-09-01 01:30:00+00:00,5816.626790364583,15705.0732421875,99.91000137329101,0.0,0.0,1099.0177978515626,0.011999999731779098,0.032999999821186066,0.024999999813735484,3582318.222222222,313017859.5555556,47.51333363850912,98.4499994913737,0.1111111111111111,1310.7777777777778,35.22222222222222,33.0,39.39677742852105,37.31111111111111,36.333333333333336,38.51155590481228,34.977777777777774,33.0,40.383776346842446,40.0,38.0,39.91700057983398,16151.0,8.0,196531440874.28888,16151.0,8.0,193261578355.82224,16151.0,8.0,201340607854.4222,16151.0,8.0,199758656477.84445
2022-09-01 01:45:00+00:00,5787.763346354167,15677.647135416666,99.9000015258789,0.0,0.0,1099.0194091796875,0.0019999999552965165,0.018999999575316905,0.040999999083578584,3581796.5714285714,313029129.14285713,47.47666676839193,98.23000081380208,0.0,1308.6666666666667,35.22222222222222,33.022222222222226,39.39399948120117,37.13333333333333,36.28888888888889,38.587755584716795,34.888888888888886,33.0,40.38493194580078,40.0,38.0,39.91360066731771,16151.0,8.0,196566794484.62222,16151.0,8.0,193296224340.73334,16151.0,8.0,201376939707.8889,16151.0,8.0,199794564703.4222
2022-09-01 02:00:00+00:00,7241.04814453125,19922.3580078125,99.92000122070313,0.010000000149011612,0.010000000149011612,1099.0176025390624,0.014999999664723873,0.06299999970942735,0.09499999899417162,3583456.0,313019125.3333333,54.570001220703126,120.9,0.0,1347.75,35.6,33.06666666666667,39.393999650743275,37.55555555555556,36.44444444444444,38.54024437798394,34.91111111111111,33.0,40.39186553955078,40.111111111111114,38.0,39.92033360799154,16151.0,8.0,196602306149.28888,16151.0,8.0,193330816204.4222,16151.0,8.0,201413191612.02222,16151.0,8.0,199830393695.4889
2022-09-01 02:15:00+00:00,5904.4833984375,17635.507161458332,99.91000137329101,0.0,0.0,1099.0165771484376,0.005999999865889549,0.04199999924749136,0.04299999959766865,3586550.8571428573,313020000.0,48.72666676839193,104.43999989827473,0.2857142857142857,1309.7142857142858,35.77777777777778,33.333333333333336,39.39122153388129,37.91111111111111,36.82222222222222,38.687155405680336,35.0,33.0,40.38666559855143,40.46666666666667,38.0,39.914778561062285,16151.0,8.0,196637686717.53333,16151.0,8.0,193365685242.4,16151.0,8.0,201449605319.3111,16151.0,8.0,199866383138.97778
