timestamp,ambient,dimm0_temp,dimm10_temp,dimm11_temp,dimm12_temp,dimm13_temp,dimm14_temp,dimm15_temp,dimm1_temp,dimm2_temp,dimm3_temp,dimm4_temp,dimm5_temp,dimm6_temp,dimm7_temp,dimm8_temp,dimm9_temp,fan0_0,fan0_1,fan1_0,fan1_1,fan2_0,fan2_1,fan3_0,fan3_1,fan_disk_power,gpu0_core_temp,gpu0_mem_temp,gpu1_core_temp,gpu1_mem_temp,gpu3_core_temp,gpu3_mem_temp,gpu4_core_temp,gpu4_mem_temp,p0_core10_temp,p0_core11_temp,p0_core12_temp,p0_core13_temp,p0_core14_temp,p0_core15_temp,p0_core16_temp,p0_core17_temp,p0_core18_temp,p0_core19_temp,p0_core20_temp,p0_core21_temp,p0_core22_temp,p0_core23_temp,p0_core6_temp,p0_core7_temp,p0_core8_temp,p0_core9_temp,p0_io_power,p0_mem_power,p0_power,p0_vdd_temp,p1_core0_temp,p1_core10_temp,p1_core11_temp,p1_core14_temp,p1_core15_temp,p1_core16_temp,p1_core17_temp,p1_core18_temp,p1_core19_temp,p1_core1_temp,p1_core2_temp,p1_core3_temp,p1_core6_temp,p1_core7_temp,p1_core8_temp,p1_core9_temp,p1_io_power,p1_mem_power,p1_power,p1_vdd_temp,pcie,ps0_input_power,ps0_input_voltag,ps0_output_curre,ps0_output_volta,ps1_input_power,ps1_input_voltag,ps1_output_curre,ps1_output_volta,total_power
2022-09-01 00:00:00+00:00,21.848888693915473,30.822222222222223,30.0,29.22222222222222,30.08888888888889,30.711111111111112,29.42222222222222,31.0,30.822222222222223,31.0,30.533333333333335,30.0,29.6,30.0,29.288888888888888,29.0,30.0,4348.888888888889,4697.777777777777,4375.555555555556,4695.555555555556,4311.111111111111,4697.777777777777,4331.111111111111,4700.0,32.31111111111111,36.977777777777774,34.0,37.68888888888889,35.422222222222224,34.31111111111111,33.044444444444444,37.08888888888889,35.0,40.022222222222226,40.06666666666667,40.08888888888889,40.13333333333333,40.08888888888889,40.15555555555556,,,40.08888888888889,40.15555555555556,40.53333333333333,40.355555555555554,40.28888888888889,40.355555555555554,40.0,40.022222222222226,40.08888888888889,40.022222222222226,57.644444444444446,18.177777777777777,40.0,31.733333333333334,37.06666666666667,37.0,37.022222222222226,37.0,37.0,36.977777777777774,37.022222222222226,37.022222222222226,37.022222222222226,37.044444444444444,37.044444444444444,37.044444444444444,37.044444444444444,37.022222222222226,37.06666666666667,37.022222222222226,52.022222222222226,18.044444444444444,25.955555555555556,30.333333333333332,36.599998474121094,244.22222222222223,227.95555555555555,15.333333333333334,12.399999618530273,294.6666666666667,227.95555555555555,19.4,12.399999618530273,372.8888888888889
2022-09-01 00:15:00+00:00,21.94222208658854,31.0,30.0,29.244444444444444,30.0,30.644444444444446,29.31111111111111,31.0,31.0,31.0,30.977777777777778,30.0,29.933333333333334,30.0,29.844444444444445,29.022222222222222,30.0,4346.666666666667,4695.555555555556,4366.666666666667,4697.777777777777,4317.777777777777,4697.777777777777,4326.666666666667,4700.0,32.266666666666666,37.0,34.0,38.0,35.955555555555556,34.53333333333333,33.06666666666667,37.044444444444444,35.0,40.37777777777778,40.31111111111111,40.46666666666667,40.46666666666667,40.577777777777776,40.577777777777776,,,40.355555555555554,40.44444444444444,40.68888888888889,40.55555555555556,40.46666666666667,40.48888888888889,40.22222222222222,40.37777777777778,40.37777777777778,40.37777777777778,57.68888888888889,18.044444444444444,39.022222222222226,32.0,36.977777777777774,37.022222222222226,37.044444444444444,37.022222222222226,37.0,36.977777777777774,37.022222222222226,37.022222222222226,37.022222222222226,36.84444444444444,36.977777777777774,37.13333333333333,37.044444444444444,37.022222222222226,37.022222222222226,37.044444444444444,51.955555555555556,18.0,25.91111111111111,30.91111111111111,36.75333336724175,244.22222222222223,228.0,15.955555555555556,12.399999618530273,297.1111111111111,227.6888888888889,19.22222222222222,12.399999618530273,370.22222222222223
2022-09-01 00:30:00+00:00,21.57333323160807,30.666666666666668,29.977777777777778,29.0,30.0,30.044444444444444,29.0,31.0,30.822222222222223,31.0,30.4,30.0,29.288888888888888,29.977777777777778,29.155555555555555,29.0,30.0,4368.888888888889,4700.0,4377.777777777777,4700.0,4320.0,4697.777777777777,4324.444444444444,4700.0,32.355555555555554,36.977777777777774,34.0,37.4,35.355555555555554,34.044444444444444,33.0,37.0,35.0,39.75555555555555,39.733333333333334,39.86666666666667,39.93333333333333,39.888888888888886,39.888888888888886,,,39.86666666666667,39.75555555555555,39.977777777777774,39.86666666666667,39.84444444444444,39.977777777777774,39.86666666666667,39.82222222222222,40.17777777777778,39.8,57.422222222222224,18.044444444444444,39.55555555555556,31.711111111111112,36.666666666666664,36.75555555555555,36.77777777777778,36.77777777777778,36.77777777777778,36.733333333333334,36.8,36.8,36.8,36.577777777777776,36.644444444444446,36.644444444444446,36.82222222222222,36.84444444444444,36.82222222222222,36.71111111111111,51.8,18.0,26.133333333333333,30.08888888888889,36.56666522555881,246.0,228.0,15.377777777777778,12.399999618530273,296.44444444444446,228.0,19.155555555555555,12.399999618530273,368.44444444444446
2022-09-01 00:45:00+00:00,21.613333172268337,30.644444444444446,29.866666666666667,29.0,30.0,30.0,29.0,31.0,30.68888888888889,31.0,30.377777777777776,30.0,29.22222222222222,29.977777777777778,29.022222222222222,29.0,30.0,4368.888888888889,4697.777777777777,4382.222222222223,4700.0,4313.333333333333,4697.777777777777,4328.888888888889,4700.0,31.644444444444446,36.93333333333333,34.0,37.24444444444445,35.22222222222222,34.0,33.0,37.0,35.0,39.86666666666667,39.8,39.888888888888886,39.93333333333333,39.977777777777774,39.977777777777774,,,40.022222222222226,39.77777777777778,40.17777777777778,39.93333333333333,40.06666666666667,40.22222222222222,39.84444444444444,39.75555555555555,39.955555555555556,39.77777777777778,57.46666666666667,18.08888888888889,40.22222222222222,31.57777777777778,36.75555555555555,36.71111111111111,36.71111111111111,36.75555555555555,36.77777777777778,36.8,36.75555555555555,36.77777777777778,36.77777777777778,36.84444444444444,36.84444444444444,36.82222222222222,36.84444444444444,36.77777777777778,36.8,36.93333333333333,51.888888888888886,18.0,26.22222222222222,30.044444444444444,36.326665835910376,247.33333333333334,228.04444444444445,15.622222222222222,12.399999618530273,294.8888888888889,228.0,19.08888888888889,12.399999618530273,370.22222222222223
2022-09-01 01:00:00+00:00,21.733333502875436,30.77777777777778,30.0,29.0,30.0,30.066666666666666,29.0,31.0,30.88888888888889,31.0,30.4,30.0,29.333333333333332,30.0,29.244444444444444,29.0,30.0,4362.222222222223,4700.0,4366.666666666667,4700.0,4311.111111111111,4697.777777777777,4335.555555555556,4700.0,32.13333333333333,37.0,34.0,37.355555555555554,35.333333333333336,34.22222222222222,33.0,37.0,35.0,39.888888888888886,39.86666666666667,40.06666666666667,40.13333333333333,40.37777777777778,40.31111111111111,,,39.977777777777774,39.733333333333334,40.46666666666667,40.28888888888889,40.2,40.4,39.82222222222222,39.82222222222222,39.977777777777774,39.888888888888886,57.48888888888889,18.133333333333333,40.577777777777776,31.644444444444446,36.91111111111111,36.977777777777774,36.955555555555556,36.93333333333333,36.955555555555556,36.93333333333333,36.977777777777774,37.0,36.977777777777774,36.977777777777774,37.0,37.022222222222226,37.022222222222226,36.977777777777774,36.977777777777774,37.022222222222226,51.955555555555556,18.0,26.133333333333333,30.244444444444444,36.59333182440864,245.77777777777777,228.0,15.066666666666666,12.399999618530273,294.44444444444446,227.9111111111111,19.355555555555554,12.399999618530273,370.6666666666667
2022-09-01 01:15:00+00:00,21.871110916137695,31.0,30.0,29.044444444444444,30.0,30.133333333333333,29.08888888888889,31.0,31.0,31.0,31.0,30.0,29.822222222222223,30.0,29.68888888888889,29.0,30.0,4346.666666666667,4695.555555555556,4375.555555555556,4700.0,4311.111111111111,4700.0,4328.888888888889,4700.0,32.08888888888889,37.0,34.0,38.0,35.8,34.31111111111111,33.0,37.0,35.0,40.06666666666667,40.06666666666667,40.111111111111114,40.2,40.266666666666666,40.266666666666666,,,40.15555555555556,40.08888888888889,40.2,40.22222222222222,40.17777777777778,40.24444444444445,40.13333333333333,40.08888888888889,40.08888888888889,40.044444444444444,57.6,18.133333333333333,40.53333333333333,31.977777777777778,36.77777777777778,36.955555555555556,36.977777777777774,36.888888888888886,36.91111111111111,36.93333333333333,36.93333333333333,37.08888888888889,36.955555555555556,36.86666666666667,36.86666666666667,36.86666666666667,36.93333333333333,36.93333333333333,36.93333333333333,36.91111111111111,51.955555555555556,18.0,26.133333333333333,30.711111111111112,36.599998474121094,244.44444444444446,228.0,15.377777777777778,12.399999618530273,296.8888888888889,227.82222222222222,19.288888888888888,12.399999618530273,369.77777777777777
2022-09-01 01:30:00+00:00,21.75999967787001,30.955555555555556,30.0,29.0,30.0,30.4,29.11111111111111,31.0,30.977777777777778,31.0,30.933333333333334,30.0,29.844444444444445,30.0,29.42222222222222,29.0,30.0,4366.666666666667,4700.0,4380.0,4700.0,4308.888888888889,4695.555555555556,4340.0,4700.0,31.91111111111111,37.0,34.0,37.91111111111111,35.888888888888886,34.266666666666666,33.0,37.0,35.0,39.8,39.888888888888886,39.888888888888886,40.0,40.111111111111114,40.0,,,39.977777777777774,39.93333333333333,40.08888888888889,40.022222222222226,40.06666666666667,40.044444444444444,39.888888888888886,39.955555555555556,39.91111111111111,39.82222222222222,57.62222222222222,18.0,39.37777777777778,31.933333333333334,36.93333333333333,36.955555555555556,36.93333333333333,36.82222222222222,36.8,36.84444444444444,36.77777777777778,36.77777777777778,36.77777777777778,36.84444444444444,36.82222222222222,36.86666666666667,37.0,36.86666666666667,36.82222222222222,36.888888888888886,52.044444444444444,18.0,26.044444444444444,30.377777777777776,36.599998474121094,245.33333333333334,228.0,15.688888888888888,12.399999618530273,296.22222222222223,228.0,19.42222222222222,12.399999618530273,367.55555555555554
2022-09-01 01:45:00+00:00,21.577777608235678,30.77777777777778,30.0,29.0,30.0,30.0,29.0,31.0,30.8,31.0,30.333333333333332,30.0,29.2,30.0,29.022222222222222,29.0,30.0,4371.111111111111,4700.0,4373.333333333333,4697.777777777777,4320.0,4700.0,4335.555555555556,4700.0,32.4,37.0,34.0,37.333333333333336,35.422222222222224,34.0,33.0,37.0,35.0,39.644444444444446,39.51111111111111,39.75555555555555,39.93333333333333,40.17777777777778,40.0,,,39.86666666666667,39.82222222222222,40.022222222222226,39.977777777777774,39.93333333333333,40.044444444444444,39.68888888888889,39.577777777777776,39.48888888888889,39.46666666666667,57.355555555555554,18.08888888888889,38.62222222222222,31.644444444444446,36.75555555555555,36.888888888888886,36.91111111111111,36.71111111111111,36.71111111111111,36.733333333333334,36.86666666666667,36.86666666666667,36.82222222222222,36.666666666666664,36.644444444444446,36.6,36.68888888888889,36.75555555555555,36.8,36.888888888888886,51.888888888888886,18.133333333333333,26.88888888888889,30.08888888888889,36.539998626708986,246.0,228.04444444444445,15.422222222222222,12.399999618530273,295.77777777777777,228.0,19.488888888888887,12.399999618530273,368.44444444444446
2022-09-01 02:00:00+00:00,21.77333314683702,30.88888888888889,30.0,29.0,30.0,30.0,29.0,31.0,30.91111111111111,31.0,30.755555555555556,30.0,29.555555555555557,30.0,29.355555555555554,29.0,30.0,4364.444444444444,4697.777777777777,4382.222222222223,4700.0,4324.444444444444,4700.0,4324.444444444444,4700.0,32.48888888888889,37.0,34.0,37.68888888888889,35.53333333333333,34.13333333333333,33.0,37.0,35.022222222222226,39.91111111111111,39.93333333333333,40.044444444444444,40.0,40.044444444444444,40.06666666666667,,,39.955555555555556,39.86666666666667,40.06666666666667,40.06666666666667,40.044444444444444,40.044444444444444,39.93333333333333,39.8,39.8,39.82222222222222,57.355555555555554,18.08888888888889,38.71111111111111,31.8,36.68888888888889,36.86666666666667,36.91111111111111,36.8,36.75555555555555,36.8,36.77777777777778,36.77777777777778,36.75555555555555,36.75555555555555,36.77777777777778,36.77777777777778,36.84444444444444,36.75555555555555,36.77777777777778,36.82222222222222,51.71111111111111,18.0,25.77777777777778,30.377777777777776,36.53333197699653,244.66666666666666,228.0,15.222222222222221,12.399999618530273,295.1111111111111,227.95555555555555,19.22222222222222,12.399999618530273,364.0
2022-09-01 02:15:00+00:00,22.066666751437715,31.0,30.0,29.31111111111111,30.0,30.68888888888889,29.511111111111113,31.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,29.022222222222222,30.0,4366.666666666667,4695.555555555556,4373.333333333333,4700.0,4313.333333333333,4700.0,4348.888888888889,4700.0,32.31111111111111,37.0,34.022222222222226,38.0,35.977777777777774,34.84444444444444,33.111111111111114,37.15555555555556,35.022222222222226,40.333333333333336,40.4,40.4,40.422222222222224,40.422222222222224,40.4,,,40.333333333333336,40.355555555555554,40.55555555555556,40.51111111111111,40.577777777777776,40.644444444444446,40.22222222222222,40.24444444444445,40.28888888888889,40.333333333333336,57.68888888888889,18.044444444444444,39.86666666666667,32.0,36.82222222222222,37.022222222222226,37.044444444444444,37.044444444444444,37.15555555555556,37.17777777777778,37.2,37.15555555555556,37.111111111111114,36.888888888888886,36.93333333333333,36.888888888888886,37.0,37.0,37.0,37.06666666666667,52.0,18.044444444444444,26.266666666666666,30.933333333333334,36.64666561550564,246.66666666666666,228.0,15.577777777777778,12.399999618530273,296.8888888888889,227.77777777777777,19.488888888888887,12.399999618530273,372.0
