timestamp,boottime,bytes_in,bytes_out,cpu_aidle,cpu_idle,cpu_nice,cpu_system,cpu_user,cpu_wio,disk_free,load_fifteen,load_five,load_one,mem_buffers,mem_cached,mem_free,part_max_used,pkts_in,pkts_out,proc_run,proc_total,swap_free,Gpu0_gpu_temp,Gpu0_mem_copy_utilization,Gpu0_memory_temp,Gpu0_power_usage,Gpu0_sm_clock,Gpu1_gpu_temp,Gpu1_mem_copy_utilization,Gpu1_memory_temp,Gpu1_power_usage,Gpu1_sm_clock,Gpu2_gpu_temp,Gpu2_mem_copy_utilization,Gpu2_memory_temp,Gpu2_power_usage,Gpu2_sm_clock,Gpu3_gpu_temp,Gpu3_mem_copy_utilization,Gpu3_memory_temp,Gpu3_power_usage,Gpu3_sm_clock,Gpu0_current_clock_throttle_reasons,Gpu0_fb_free,Gpu0_fb_used,Gpu0_gpu_util_samples,Gpu0_gpu_utilization,Gpu0_nvlink_bandwidth_total,Gpu0_thermal_violation,Gpu0_total_energy_consumption,Gpu1_current_clock_throttle_reasons,Gpu1_fb_free,Gpu1_fb_used,Gpu1_gpu_util_samples,Gpu1_gpu_utilization,Gpu1_nvlink_bandwidth_total,Gpu1_total_energy_consumption,Gpu2_current_clock_throttle_reasons,Gpu2_ecc_sbe_volatile_total,Gpu2_fb_free,Gpu2_fb_used,Gpu2_gpu_util_samples,Gpu2_gpu_utilization,Gpu2_nvlink_bandwidth_total,Gpu2_retired_pages_pending,Gpu2_retired_pages_sbe,Gpu2_total_energy_consumption,Gpu3_current_clock_throttle_reasons,Gpu3_fb_free,Gpu3_fb_used,Gpu3_gpu_util_samples,Gpu3_gpu_utilization,Gpu3_nvlink_bandwidth_total,Gpu3_total_energy_consumption
2022-09-01 00:00:00+00:00,1657003792.0,7200.199951171875,19433.7197265625,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2135986328126,5.011999988555909,4.071000099182129,4.075,64.0,9804608.0,194270400.0,40.29999923706055,57.814998626708984,113.38500213623047,4.0,2455.4,3227584.0,43.0,0.0,40.266666666666666,60.263999938964844,1312.0,45.0,0.0,43.22222222222222,57.72259911431207,1312.0,40.044444444444444,0.0,38.0,58.759932115342885,1312.0,44.0,0.0,42.0,59.03159942626953,1312.0,0.0,4345.0,11815.0,14.266666666666667,15.488888888888889,784.5555555555555,0.0,560246080015.4445,0.0,4345.0,11815.0,14.0,15.533333333333333,784.5111111111111,541526821806.08887,0.0,0.0,4341.0,11819.0,19.755555555555556,20.666666666666668,784.5777777777778,0.0,0.0,545282694909.9778,0.0,4339.0,11821.0,19.11111111111111,20.533333333333335,784.6,550089988013.1777
2022-09-01 00:15:00+00:00,1657003792.0,9023.342529296875,20890.9794921875,91.5,96.78750228881836,0.0,0.20000000298023224,3.0,0.0,1135.2118408203125,4.428999996185302,4.108000040054321,4.11399998664856,64.0,9805906.285714285,194252388.57142857,40.29999923706055,67.18749904632568,125.76500129699707,4.5,2488.6666666666665,3227584.0,43.0,0.0,40.62222222222222,60.35093299018012,1312.0,45.0,0.0,43.644444444444446,57.748443603515625,1312.0,40.37777777777778,0.0,38.0,58.86859868367513,1312.0,44.0,0.0,42.0,58.99899927775065,1312.0,0.0,4345.0,11815.0,14.244444444444444,15.511111111111111,783.2222222222222,0.0,560300336125.289,0.0,4345.0,11815.0,14.0,15.533333333333333,783.1333333333333,541578726093.1111,0.0,0.0,4341.0,11819.0,19.822222222222223,20.57777777777778,783.2666666666667,0.0,0.0,545335593849.1111,0.0,4339.0,11821.0,19.022222222222222,20.333333333333332,783.2888888888889,550143077988.5778
2022-09-01 00:30:00+00:00,,7191.22998046875,19365.0,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2120361328125,4.200999975204468,4.090000057220459,4.123000001907348,,,,40.29999923706055,58.23500061035156,113.53499984741211,,,,43.0,0.0,40.044444444444444,60.19880015055339,1312.0,45.0,0.0,43.044444444444444,57.58471026950412,1312.0,40.0,0.0,37.93333333333333,58.759932115342885,1312.0,44.0,0.0,42.0,58.89033211602105,1312.0,0.0,4345.0,11815.0,14.377777777777778,15.577777777777778,782.0444444444445,0.0,560354611696.289,0.0,4345.0,11815.0,14.0,15.444444444444445,782.0666666666667,541630602282.8,0.0,0.0,4341.0,11819.0,19.644444444444446,20.466666666666665,782.0888888888888,0.0,0.0,545388499537.6445,0.0,4339.0,11821.0,19.066666666666666,20.466666666666665,782.0666666666667,550195841483.8636
2022-09-01 00:45:00+00:00,1657003792.0,7927.169921875,19230.279296875,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2084228515625,4.122999954223633,4.097000074386597,4.099000024795532,64.0,9808234.666666666,194259413.33333334,40.29999923706055,63.61000061035156,118.25,4.0,2452.0,3227584.0,43.0,0.0,40.0,60.2205334133572,1312.0,45.0,0.0,43.0,57.59557707044814,1312.0,40.0,0.0,37.82222222222222,58.62953253851997,1312.0,44.0,0.0,41.93333333333333,58.84686550564236,1312.0,0.0,4345.0,11815.0,14.444444444444445,15.4,780.8222222222222,0.0,560408844198.3334,0.0,4345.0,11815.0,14.0,15.333333333333334,780.9555555555555,541682424493.7778,0.0,0.0,4341.0,11819.0,19.57777777777778,20.644444444444446,781.0,0.0,0.0,545441342320.26666,0.0,4339.0,11821.0,19.022222222222222,20.288888888888888,781.0,550249138486.7333
2022-09-01 01:00:00+00:00,1657003792.0,6281.919921875,15462.08984375,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2099609375,4.071428707667759,4.057142870766776,4.037142889840262,64.0,9809568.0,194256256.0,40.29999923706055,51.52000045776367,98.99499893188477,6.0,2451.0,3227584.0,43.0,0.0,40.0,60.254022216796876,1312.0,45.0,0.0,43.08888888888889,57.547044118245445,1312.0,40.0,0.0,37.75555555555555,58.61866590711806,1312.0,44.0,0.0,41.955555555555556,58.85773230658637,1312.0,0.0,4345.0,11815.0,14.644444444444444,15.555555555555555,782.6666666666666,0.0,560463062268.0444,0.0,4345.0,11815.0,14.0,15.422222222222222,782.5333333333333,541734232822.06665,0.0,0.0,4341.0,11819.0,19.844444444444445,20.666666666666668,782.4666666666667,0.0,0.0,545494133881.2222,0.0,4339.0,11821.0,19.177777777777777,20.333333333333332,782.5111111111111,550302136009.6444
2022-09-01 01:15:00+00:00,1657003792.0,8509.084716796875,18657.064453125,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.210009765625,4.076000022888183,4.081999969482422,4.084000015258789,64.0,9810432.0,194265984.0,40.29999923706055,67.7299976348877,115.31999969482422,4.0,2451.0,3227584.0,43.0,0.0,40.08888888888889,60.285733201768664,1312.0,45.0,0.0,43.44444444444444,57.68746592203776,1312.0,40.022222222222226,0.0,37.977777777777774,58.727332475450304,1312.0,44.0,0.0,42.0,58.97726584540473,1312.0,0.0,4345.0,11815.0,14.511111111111111,15.733333333333333,782.6444444444444,0.0,560517165247.9333,0.0,4345.0,11815.0,14.0,15.244444444444444,782.6666666666666,541785978731.6,0.0,0.0,4341.0,11819.0,19.91111111111111,20.711111111111112,782.6444444444444,0.0,0.0,545546913738.7111,0.0,4339.0,11821.0,19.11111111111111,20.42222222222222,782.6222222222223,550355036056.711
2022-09-01 01:30:00+00:00,1657003792.0,8541.6396484375,19848.48046875,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2099853515624,4.070000052452087,4.075000047683716,4.100000023841858,64.0,9811376.94117647,194256237.17647058,40.29999923706055,74.8499984741211,132.3699951171875,4.375,2450.875,3227584.0,42.955555555555556,0.0,40.0,60.13360036214193,1312.0,45.0,0.0,43.0,57.516243404812286,1312.0,40.0,0.0,37.8,58.618643612331816,1312.0,44.0,0.0,41.91111111111111,58.85773205227322,1312.0,0.0,4345.0,11815.0,14.466666666666667,15.622222222222222,781.2222222222222,0.0,560571348446.1333,0.0,4345.0,11815.0,14.0,15.466666666666667,781.3111111111111,541837717777.1556,0.0,0.0,4341.0,11819.0,19.711111111111112,20.622222222222224,781.2888888888889,0.0,0.0,545599711206.8222,0.0,4339.0,11821.0,19.22222222222222,20.377777777777776,781.2444444444444,550408005814.4445
2022-09-01 01:45:00+00:00,1657003792.0,6827.909993489583,17131.870442708332,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2083984375,4.046666781107585,4.050000031789144,4.066666762034099,64.0,9812648.0,196471828.0,40.29999923706055,57.463331858317055,112.85999806722005,4.0,2451.75,3227584.0,42.977777777777774,0.0,40.0,59.97233369615343,1312.0,44.977777777777774,0.0,43.0,57.42491073608399,1312.0,40.0,0.0,37.955555555555556,58.4555549621582,1312.0,43.977777777777774,0.0,41.82222222222222,58.6728877597385,1312.0,0.0,4606.066666666667,11553.933333333332,13.822222222222223,14.28888888888889,739.0666666666667,0.0,560625450934.2667,0.0,4606.066666666667,11553.933333333332,13.4,14.28888888888889,742.9111111111112,541889437669.6,0.0,0.0,4601.977777777778,11558.022222222222,18.733333333333334,18.91111111111111,731.0,0.0,0.0,545652401010.5111,0.0,4599.977777777778,11560.022222222222,18.31111111111111,18.666666666666668,731.0222222222222,550460917727.0222
2022-09-01 02:00:00+00:00,1657003792.0,7600.427490234375,18540.79248046875,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.2068359375,4.048000049591065,4.084000015258789,4.109999942779541,64.0,9814649.263157895,194031141.0526316,40.29999923706055,64.53250026702881,119.51250267028809,4.2,2454.3,3227584.0,43.0,0.0,40.17777777777778,60.25313330756293,1312.0,45.0,0.0,43.15555555555556,57.64579917060004,1312.0,40.0,0.0,37.91111111111111,58.71646575927734,1312.0,44.0,0.0,41.91111111111111,58.90206561618381,1312.0,0.0,4345.0,11815.0,14.488888888888889,15.733333333333333,795.2,0.0,560679549181.9111,0.0,4345.0,11815.0,14.044444444444444,15.577777777777778,795.1111111111111,541941155822.6889,0.0,0.0,4339.0,11821.0,19.88888888888889,20.488888888888887,795.0222222222222,0.0,0.0,545705107110.5111,0.0,4337.0,11823.0,19.377777777777776,20.42222222222222,795.0444444444445,550513813479.4
2022-09-01 02:15:00+00:00,1657003792.0,7972.570068359375,19888.47265625,91.5,96.80000305175781,0.0,0.20000000298023224,3.0,0.0,1135.1971923828125,4.065000057220459,4.102499961853027,4.102500081062317,64.0,9820917.894736841,194031781.0526316,40.29999923706055,59.22249889373779,119.8600025177002,4.25,2487.375,3227584.0,43.0,0.0,40.68888888888889,60.36179962158203,1312.0,45.0,0.0,43.77777777777778,57.805310482449,1312.0,40.22222222222222,0.0,38.0,58.75993220011393,1312.0,44.0,0.0,42.0,59.020732710096574,1312.0,0.0,4345.0,11815.0,14.733333333333333,15.644444444444444,793.2666666666667,0.0,560733804945.4,0.0,4345.0,11815.0,14.022222222222222,15.555555555555555,793.0444444444445,541993067644.2222,0.0,0.0,4339.0,11821.0,19.933333333333334,20.8,793.0222222222222,0.0,0.0,545758003705.86664,0.0,4337.0,11823.0,19.466666666666665,20.533333333333335,792.9777777777778,550566902297.4889
